model,text_id,run,strategy,output,seconds,prompt_tokens,completion_tokens,timestamp
llama3.2:3b,text1,1,zero-shot,"Here is a summary of the article in 3-5 sentences:

The cost of autonomous vehicles (AVs) remains a major obstacle to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla are taking different approaches to reduce costs, with Waymo focusing on expensive LiDAR systems and Tesla using cheaper camera-based systems. Despite falling LiDAR costs, AV developers face significant expenses in training and validating AI models, and regulators and the public must also be convinced of the technology's safety and reliability. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but significant hurdles remain.",37.72,280,149,2026-09-18T21:38:17.287732
llama3.2:3b,text1,2,zero-shot,"Here is a summary of the article in 4 sentences:

The cost of autonomous vehicles (AVs) remains a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla have taken different approaches to reduce costs, with Waymo relying on expensive LiDAR systems and Tesla using cheaper camera-based systems with machine learning. Despite declining LiDAR costs, AV developers still face significant costs in training and validating AI models, requiring millions of simulated and real-world driving miles. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain major hurdles.",8.89,280,149,2026-09-18T21:38:26.178206
llama3.2:3b,text1,3,zero-shot,"Here is a summary of the article in 3-5 sentences:

The cost of autonomous vehicles (AVs) remains a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla are taking different approaches to reduce costs, with Waymo focusing on expensive LiDAR systems and Tesla using cheaper camera-based systems paired with machine learning. Industry analysts expect LiDAR costs to continue falling, and researchers are focusing on improving edge-case handling and developing standardized safety validation frameworks. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain significant hurdles.",9.00,280,149,2026-09-18T21:38:35.177787
llama3.2:3b,text1,4,zero-shot,"Here is a summary of the article in 3-5 sentences:

The cost of autonomous vehicles (AVs) is a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla are taking different approaches to reduce costs, with Waymo investing in expensive LiDAR systems and Tesla using cheaper camera-based systems. Despite declining LiDAR costs, AV developers face significant expenses in training and validating AI models, and regulatory approval and public trust remain major hurdles. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but significant technical, financial, and regulatory challenges need to be overcome.",9.09,280,151,2026-09-18T21:38:44.271426
llama3.2:3b,text1,5,zero-shot,"Here is a summary of the text in 3-5 sentences:

As autonomous vehicles (AVs) transition from prototypes to commercial deployment, cost remains a major obstacle to widespread adoption. A single self-driving sensor suite can add $10,000 to $100,000 to a vehicle's price, depending on the level of autonomy. Industry analysts predict that LiDAR costs will continue to fall, and researchers are focusing on improving edge-case handling and developing standardized safety validation frameworks to address technical and regulatory hurdles. Experts estimate that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but significant challenges, including regulatory approval and public trust, must be overcome.",8.72,280,141,2026-09-18T21:38:52.995807
llama3.2:3b,text1,6,zero-shot,"Here is a summary of the text in 3-5 sentences:

The cost of autonomous vehicles (AVs) is a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla are taking different approaches to reduce costs, with Waymo focusing on expensive LiDAR systems and Tesla using cheaper camera-based systems with machine learning. Despite cost drops in LiDAR technology, AV developers still face significant expenses in training and validating AI models. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval, public trust, and technical challenges remain significant hurdles.",9.14,280,147,2026-09-18T21:39:02.135257
llama3.2:3b,text1,7,zero-shot,"Here is a summary of the text in 3-5 sentences:

As autonomous vehicles (AVs) move closer to commercial deployment, cost remains a major barrier to widespread adoption. The cost of a single self-driving sensor suite, which can add $10,000 to $100,000 to a vehicle's price, is a significant hurdle. However, industry analysts expect LiDAR costs to continue falling, and researchers are focusing on improving edge-case handling and developing standardized safety validation frameworks. Some experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain significant challenges.",8.22,280,133,2026-09-18T21:39:10.360693
llama3.2:3b,text1,8,zero-shot,"Here is a summary of the article in 4 sentences:

The cost of autonomous vehicles (AVs) is a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla are taking different approaches to address this issue, with Waymo focusing on high-reliability LiDAR systems and Tesla using cheaper camera-based systems with machine learning. Despite falling LiDAR costs, AV developers face significant expenses in training and validating AI models, and researchers are focusing on improving edge-case handling and developing standardized safety validation frameworks. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain major hurdles.",9.61,280,158,2026-09-18T21:39:19.969112
llama3.2:3b,text1,9,zero-shot,"Here is a summary of the text in 3-5 sentences:

The cost of autonomous vehicles (AVs) remains a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Industry analysts expect LiDAR costs to continue falling, and companies like Waymo and Tesla are taking different approaches to reduce costs and scale production. Developing and validating AI models is also a significant expense, requiring millions of simulated and real-world driving miles. Despite these challenges, experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, pending regulatory approval and public trust.",8.17,280,137,2026-09-18T21:39:28.144089
llama3.2:3b,text1,10,zero-shot,"Here is a summary of the text in 3-5 sentences:

The cost of autonomous vehicles (AVs) is a major barrier to widespread adoption, with a single sensor suite adding $10,000 to $100,000 to a vehicle's price. Companies like Waymo and Tesla have taken different approaches to address this issue, with Waymo relying on expensive LiDAR systems and Tesla using cheaper camera-based systems paired with machine learning. Despite a 80% decline in LiDAR costs since 2015, AV developers face significant costs in training and validating AI models, as well as improving edge-case handling and developing standardized safety validation frameworks. Experts predict that fully autonomous vehicles could become cost-competitive with human-driven cars by the early 2030s, but regulatory approval and public trust remain significant hurdles.",11.34,280,165,2026-09-18T21:39:39.480492
